160002	12.3846	0	2	0.384615	161	13	
160102	14.2857	0	1	4.28571	100	7	
160103	17	0	2	5	170	10	
160304	10	0	1	0	120	12	
160305	12	0	2	0	156	13	
160206	14	0	3	0	168	12	
160207	27.5385	1	4	11.5385	358	13	
160607	37	1	3	23	333	9	
160408	44.7857	1	5	26.7857	627	14	
160608	104.929	1	4	88.9286	1469	14	
160708	42.4286	1	1	32.4286	594	14	
160509	18	0	5	0	252	14	
160709	68	1	2	56	612	9	
160809	10	0	1	0	130	13	
140001	10	0	1	0	70	7	
140002	13.0714	0	2	1.07143	183	14	
140102	19.5	0	1	9.5	195	10	
140103	23	1	2	11	207	9	
140203	10	0	1	0	100	10	
140204	12	0	2	0	120	10	
140305	12	0	2	0	168	14	
140306	14	0	3	0	182	13	
140407	20	0	6	0	260	13	
140507	41	1	7	19	287	7	
140608	74.5455	1	7	52.5455	820	11	
140609	111.5	1	6	91.5	1115	10	
140410	30.0714	1	3	16.0714	421	14	
140510	97.3571	1	4	81.3571	1363	14	
140710	34	1	3	20	306	9	
140811	72.1538	1	3	58.1538	938	13	
140712	61.8462	1	5	43.8462	804	13	
140812	113.417	1	4	97.4167	1361	12	
141012	46.5	1	2	34.5	651	14	
141113	19.6429	0	2	7.64286	275	14	
141114	59	1	7	37	649	11	
141214	40.3636	1	8	16.3636	444	11	
141314	54.5	1	9	28.5	545	10	
130001	28	0	8	4	308	11	
130002	26	0	7	4	286	11	
130102	10	0	1	0	100	10	
130203	10	0	1	0	130	13	
130204	12	0	2	0	120	10	
130405	10	0	1	0	70	7	
130106	18	0	5	0	180	10	
130406	12	0	2	0	84	7	
130607	10	0	1	0	70	7	
130608	12	0	2	0	168	14	
130309	14	0	3	0	168	12	
130509	18	0	5	0	180	10	
130809	24	0	8	0	312	13	
130710	24	0	8	0	264	11	
130911	67.1538	1	6	47.1538	873	13	
130912	157.636	1	7	135.636	1734	11	
131113	12	0	2	0	72	6	
131213	10	0	1	0	110	11	
131014	16	0	4	0	224	14	
131015	18	0	5	0	180	10	
131316	20	0	6	0	280	14	
131617	10	0	1	0	100	10	
131618	12	0	2	0	144	12	
170001	24	0	8	0	144	6	
170102	10	0	1	0	120	12	
170203	10	0	1	0	130	13	
170004	18	0	5	0	252	14	
170304	10	0	1	0	130	13	
170205	14	0	3	0	154	11	
170106	18	0	5	0	126	7	
170406	63	1	2	51	441	7	
170506	16.25	0	1	6.25	130	8	
170507	62	1	2	50	682	11	
170308	47.5	1	5	29.5	475	10	
170408	82	1	4	66	656	8	
170708	10	0	1	0	100	10	
170609	21.5	0	6	1.5	215	10	
170709	47.5	1	7	25.5	475	10	
170809	81.4167	1	8	57.4167	977	12	
170610	61.5	1	3	47.5	861	14	
171011	10	0	1	0	120	12	
170812	81	1	3	67	810	10	
171013	27.75	1	3	13.75	333	12	
171214	26.5	1	2	14.5	159	6	
190001	20	0	6	0	260	13	
190002	27.0714	0	9	1.07143	379	14	
190102	22.75	0	3	8.75	273	12	
190203	10	0	1	0	140	14	
210001	24	0	8	0	168	7	
210002	22	0	7	0	264	12	
